,Title,published_date,Views,Likes,comments,Published_date,Comments,Month
35,How To Start Working on Data Science Projects (As a Beginner) #shorts,2023-01-19T07:00:06Z,4777,472,10,2023-01-19,10,Jan
36,What Data Science Tool Would I Learn First? #shorts,2023-01-17T07:00:12Z,6209,469,10,2023-01-17,10,Jan
37,How long does it take to become a Data Scientist? #shorts,2023-01-12T11:45:02Z,5830,460,6,2023-01-12,6,Jan
38,Where & how to start your Data Science Journey #shorts,2023-01-09T00:35:13Z,6560,412,2,2023-01-09,2,Jan
39,How I Would NOT Learn Data Science in 2023.,2023-01-03T13:00:34Z,121585,4043,253,2023-01-03,253,Jan
40,The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],2022-12-14T13:00:23Z,4810,200,28,2022-12-14,28,Dec
41,The Essential Programming Concepts For Learning Data Science,2022-11-14T13:00:02Z,20181,840,46,2022-11-14,46,Nov
42,The Data Content House: What You Missed,2022-10-07T13:00:04Z,10409,348,50,2022-10-07,50,Oct
43,Is Data Science A Good Career?,2022-09-29T20:40:31Z,60013,1898,137,2022-09-29,137,Sep
44,IRON ANALYST (Teaser) #shorts,2022-09-27T17:21:13Z,5623,363,24,2022-09-27,24,Sep
45,When a New Data Scientist Joins The Team,2022-08-29T13:00:01Z,16350,746,133,2022-08-29,133,Aug
46,State of Data Science - Web Data,2022-08-05T20:20:04Z,10416,359,34,2022-08-05,34,Aug
47,Data Science Town Hall - State of Data Science,2022-08-04T18:34:49Z,9950,376,38,2022-08-04,38,Aug
48,The Programming Roadmap For Data Science,2022-07-29T14:31:33Z,27070,1286,64,2022-07-29,64,Jul
49,5 Impactful Data Science Projects For Your Portfolio,2022-06-27T13:00:10Z,74317,2838,90,2022-06-27,90,Jun
50,Can AI Fix my Baseball Swing?,2022-06-10T13:00:00Z,7540,340,68,2022-06-10,68,Jun
51,Every Data Scientist... (funny!),2022-05-24T13:00:07Z,16535,849,146,2022-05-24,146,May
52,State of Data Science (Town Hall) ft - Data Squad,2022-05-07T22:43:20Z,15972,429,65,2022-05-07,65,May
53,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04T13:00:16Z,57661,1501,87,2022-04-04,87,Apr
54,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25T13:00:38Z,21057,880,113,2022-03-25,113,Mar
55,Data Scientists VS NFT Scam,2022-03-03T13:00:36Z,4611,189,50,2022-03-03,50,Mar
56,When a PM Joins the Data Team... (funny!) - Ft @LukeBarousse,2022-02-21T13:00:03Z,11130,511,144,2022-02-21,144,Feb
57,What Professional Data Scientists ACTUALLY Do,2022-02-14T13:00:31Z,95095,3298,187,2022-02-14,187,Feb
58,Can You Analyze My Data Better Than I Can?,2022-01-31T13:00:11Z,7299,323,62,2022-01-31,62,Jan
59,Giving Back to My Most Engaged Subscribers!,2022-01-28T13:00:01Z,2325,119,89,2022-01-28,89,Jan
60,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24T13:00:09Z,30216,894,131,2022-01-24,131,Jan
61,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17T13:00:00Z,8835,424,83,2022-01-17,83,Jan
62,Should  @LukeBarousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14T10:00:02Z,8516,253,33,2022-01-14,33,Jan
63,The Only Data Science Explanation You Need,2022-01-10T13:00:33Z,59315,2218,172,2022-01-10,172,Jan
64,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03T13:00:35Z,14444,647,144,2022-01-03,144,Jan
65,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27T13:00:34Z,340343,14974,539,2021-12-27,539,Dec
66,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17T14:00:01Z,11945,420,67,2021-12-17,67,Dec
67,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10T13:00:22Z,8005,568,25,2021-12-10,25,Dec
68,How Zillow Lost $500 MILLION With Machine Learning,2021-12-03T13:00:14Z,24615,1185,146,2021-12-03,146,Dec
69,Why Is Data Engineering So HOT Right Now?,2021-11-26T13:00:22Z,29428,1101,141,2021-11-26,141,Nov
70,Is Data Science Dying?,2021-11-19T13:00:01Z,122889,3864,362,2021-11-19,362,Nov
71,7 Incredible Books That Transformed My Health and My Life,2021-11-12T13:00:04Z,8080,386,112,2021-11-12,112,Nov
72,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05T13:00:23Z,3628,203,48,2021-11-05,48,Nov
73,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29T12:00:01Z,13316,300,39,2021-10-29,39,Oct
74,ML Ops: What is it REALLY?,2021-10-22T13:00:00Z,6868,285,65,2021-10-22,65,Oct
75,Business Skills for Data Science: What are they REALLY?,2021-10-18T13:00:27Z,6800,302,50,2021-10-18,50,Oct
76,#66DaysOfData Round 3 Live Event! (feat. @statquest),2021-10-12T16:05:54Z,2205,123,5,2021-10-12,5,Oct
77,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08T13:00:15Z,5911,282,64,2021-10-08,64,Oct
78,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20T13:00:20Z,12789,529,112,2021-08-20,112,Aug
79,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07T14:00:11Z,10198,433,32,2021-08-07,32,Aug
80,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06T23:04:24Z,41002,1597,32,2021-08-06,32,Aug
81,How I Learned to Learn.,2021-07-31T13:00:26Z,50785,2367,209,2021-07-31,209,Jul
82,Is Spotify Shuffle Really Random? #Shorts,2021-07-21T13:00:21Z,10486,581,50,2021-07-21,50,Jul
83,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16T21:30:26Z,2392,93,30,2021-07-16,30,Jul
84,Why are APIs Important for Data Science?,2021-07-09T13:00:32Z,9893,453,95,2021-07-09,95,Jul
85,Is Your Phone REALLY Listening to You?,2021-07-03T13:00:31Z,5175,280,116,2021-07-03,116,Jul
86,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25T13:00:12Z,15172,598,121,2021-06-25,121,Jun
87,#66DaysOfData - 3 Reasons to Start!,2021-06-18T13:00:32Z,4092,225,41,2021-06-18,41,Jun
88,#66DaysOfData - What is it? #shorts,2021-06-11T12:48:29Z,9139,393,54,2021-06-11,54,Jun
89,A Quick Data Science Project Tip! #SHORTS,2021-06-03T13:00:06Z,16628,1016,89,2021-06-03,89,Jun
90,Discouraged with Data Science? - Watch THIS video.,2021-05-28T13:00:02Z,7447,391,195,2021-05-28,195,May
91,How Data Science Projects Pay Off,2021-05-22T13:30:03Z,10645,598,146,2021-05-22,146,May
